time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,SentimentStrat,a0d5dd90de624113bc99eec1d9739230,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,SentimentStrat,a0d5dd90de624113bc99eec1d9739230,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-02 09:31:00-05:00,SentimentStrat,4f7692bf972c4e85a624f8bfa0d47bdf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:31:00-05:00,SentimentStrat,4f7692bf972c4e85a624f8bfa0d47bdf,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,77.0,0.0
2020-01-02 09:32:00-05:00,SentimentStrat,619f281e84bc407b8a4900ce01b5d834,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:32:00-05:00,SentimentStrat,619f281e84bc407b8a4900ce01b5d834,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,39.0,0.0
2020-01-02 09:33:00-05:00,SentimentStrat,8fedc966d6f242648a0c124f91d457e9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:33:00-05:00,SentimentStrat,8fedc966d6f242648a0c124f91d457e9,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,19.0,0.0
2020-01-02 09:34:00-05:00,SentimentStrat,a8c1964216e646e38a76ccc686108c46,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:34:00-05:00,SentimentStrat,a8c1964216e646e38a76ccc686108c46,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,10.0,0.0
2020-01-02 09:35:00-05:00,SentimentStrat,c2e7c12073b64166bcf1d04117924c5b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:35:00-05:00,SentimentStrat,c2e7c12073b64166bcf1d04117924c5b,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,5.0,0.0
2020-01-02 09:36:00-05:00,SentimentStrat,844ca537c0de4cf284fbfc07cfd2fa6e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:36:00-05:00,SentimentStrat,844ca537c0de4cf284fbfc07cfd2fa6e,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,2.0,0.0
2020-01-02 09:37:00-05:00,SentimentStrat,f4524b3143d94d478663e8c103f6771a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:37:00-05:00,SentimentStrat,f4524b3143d94d478663e8c103f6771a,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-02 09:38:00-05:00,SentimentStrat,38171ce4cd3e4c6492190d482f02ed26,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:38:00-05:00,SentimentStrat,38171ce4cd3e4c6492190d482f02ed26,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
